SPY,,,GOVT,,,EEMV,,,CME,,,BR,,,CBOE,,,ICE,,,ACN,,
Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,
1/2/2014,163.383347,,1/2/2014,22.256424,,1/2/2014,49.501823,,1/2/2014,61.934052,,1/2/2014,35.192455,,1/2/2014,47.337757,,1/2/2014,35.966328,,1/2/2014,71.374649,
1/31/2014,159.149597,,1/31/2014,22.531199,,1/31/2014,46.67614,,1/31/2014,59.391865,,1/31/2014,32.505329,,1/31/2014,48.303463,,1/31/2014,33.434593,,1/31/2014,70.27494,
2/3/2014,155.567932,,2/3/2014,22.625618,,2/3/2014,45.620865,,2/3/2014,58.136654,,2/3/2014,31.600666,,2/3/2014,45.61993,,2/3/2014,32.579475,,2/3/2014,68.70018,
2/28/2014,166.393433,,2/28/2014,22.598122,,2/28/2014,48.350624,,2/28/2014,58.645084,,2/28/2014,33.82201,,2/28/2014,50.338078,,2/28/2014,33.442596,,2/28/2014,73.327721,
3/3/2014,165.223328,,3/3/2014,22.635736,,3/3/2014,47.879673,,3/3/2014,58.875481,,3/3/2014,33.93845,,3/3/2014,51.614464,,3/3/2014,33.625149,,3/3/2014,72.579918,
3/31/2014,167.773743,,3/31/2014,22.50728,,3/31/2014,49.885559,,3/31/2014,59.167866,,3/31/2014,33.450176,,3/31/2014,52.732479,,3/31/2014,32.179585,,3/31/2014,70.134186,
4/1/2014,168.886185,,4/1/2014,22.501776,,4/1/2014,50.356514,,4/1/2014,58.080772,,4/1/2014,34.13467,,4/1/2014,52.471607,,4/1/2014,31.416683,,4/1/2014,69.975838,
4/30/2014,168.940048,,4/30/2014,22.676277,,4/30/2014,50.792572,,4/30/2014,56.266239,,4/30/2014,34.530964,,4/30/2014,49.71386,,4/30/2014,33.25478,,4/30/2014,71.422493,
5/1/2014,168.957932,,5/1/2014,22.690069,,5/1/2014,50.932114,,5/1/2014,56.498055,,5/1/2014,34.431889,,5/1/2014,49.807026,,5/1/2014,33.423958,,5/1/2014,71.08416,
5/30/2014,172.860489,,5/30/2014,22.855556,,5/30/2014,51.978661,,5/30/2014,57.553196,,5/30/2014,36.944706,,5/30/2014,47.384789,,5/30/2014,31.946968,,5/30/2014,72.517578,
6/2/2014,173.057907,,6/2/2014,22.839903,,6/2/2014,51.90889,,6/2/2014,57.513222,,6/2/2014,37.422047,,6/2/2014,46.982758,,6/2/2014,31.587488,,6/2/2014,72.357323,
6/30/2014,176.429214,,6/30/2014,22.812302,,6/30/2014,53.013382,,6/30/2014,57.099945,,6/30/2014,37.695194,,6/30/2014,46.010376,,6/30/2014,31.266544,,6/30/2014,71.974495,
7/1/2014,177.610077,,7/1/2014,22.789274,,7/1/2014,53.401688,,7/1/2014,57.132156,,7/1/2014,37.740463,,7/1/2014,45.795326,,7/1/2014,30.839499,,7/1/2014,72.339539,
7/31/2014,174.058426,,7/31/2014,22.789274,,7/31/2014,53.525242,,7/31/2014,59.506294,,7/31/2014,36.545517,,7/31/2014,45.318485,,7/31/2014,31.816055,,7/31/2014,70.585579,
8/1/2014,173.526566,,8/1/2014,22.867643,,8/1/2014,53.984161,,8/1/2014,59.699421,,8/1/2014,36.681305,,8/1/2014,46.477867,,8/1/2014,31.809443,,8/1/2014,70.069191,
8/29/2014,180.927383,,8/29/2014,23.061293,,8/29/2014,55.255001,,8/29/2014,61.606808,,8/29/2014,38.509941,,8/29/2014,49.775967,,8/29/2014,31.283091,,8/29/2014,72.170372,
